team_abbr,position,player_name,number,formation,status,height,weight,college,experience,age,birth_date,entry_year,draft_pick,completions_season,attempts_season,passing_yards_season,passing_tds_season,interceptions_season,carries_season,rushing_yards_season,rushing_tds_season,receptions_season,targets_season,receiving_yards_season,receiving_tds_season,games_played,espn_player_id
IND,RB,Jonathan Taylor,28,3WR 1TE,ACT,70.0,221,Wisconsin,5,26.0,1999-01-19,2020,41,0.0,0.0,0.0,0.0,0.0,115.0,603.0,7.0,20.0,22.0,147.0,1.0,6,4242335
IND,TE,Tyler Warren,84,3WR 1TE,ACT,78.0,261,Penn State,0,23.0,2002-05-24,2025,14,0.0,1.0,0.0,0.0,0.0,4.0,6.0,1.0,29.0,40.0,370.0,2.0,6,4431459
IND,QB,Daniel Jones,17,3WR 1TE,ACT,77.0,220,Duke,6,28.0,1997-05-27,2019,6,129.0,180.0,1502.0,8.0,3.0,24.0,76.0,4.0,0.0,0.0,0.0,0.0,6,3917792
HOU,C,Jarrett Patterson,54,3WR 1TE,ACT,76.0,310,Notre Dame,2,26.0,1999-09-01,2023,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4372774
HOU,RG,Tytus Howard,71,3WR 1TE,ACT,77.0,322,Alabama State,6,29.0,1996-05-23,2019,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3131498
HOU,RT,Aireontae Ersery,79,3WR 1TE,ACT,78.0,330,Minnesota,0,23.0,2002-02-19,2025,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4429693
HOU,QB,C.J. Stroud,7,3WR 1TE,ACT,75.0,218,Ohio State,2,24.0,2001-10-03,2023,2,102.0,144.0,1076.0,8.0,3.0,18.0,122.0,0.0,0.0,0.0,0.0,0.0,5,4432577
HOU,TE,Dalton Schultz,86,3WR 1TE,ACT,77.0,242,Stanford,7,29.0,1996-07-11,2018,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,27.0,186.0,0.0,5,3117256
HOU,RB,Nick Chubb,21,3WR 1TE,ACT,71.0,225,Georgia,7,30.0,1995-12-27,2018,35,0.0,0.0,0.0,0.0,0.0,58.0,249.0,2.0,7.0,10.0,46.0,0.0,5,3128720
HOU,RB,Dameon Pierce,31,3WR 1TE,ACT,70.0,215,Florida,3,25.0,2000-02-19,2022,107,0.0,0.0,0.0,0.0,0.0,10.0,26.0,0.0,0.0,1.0,0.0,0.0,2,4360238
IND,LDE,Kwity Paye,51,Base 4-3 D,ACT,75.0,265,Michigan,4,27.0,1998-11-19,2021,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4258194
IND,LDT,Grover Stewart,90,Base 4-3 D,ACT,76.0,315,Albany State (GA),8,32.0,1993-10-20,2017,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4058825
IND,RDT,DeForest Buckner,99,Base 4-3 D,ACT,79.0,300,Oregon,9,31.0,1994-03-17,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2971282
IND,RDE,Laiatu Latu,97,Base 4-3 D,ACT,77.0,265,UCLA; Washington,1,25.0,2000-12-31,2024,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4426473
IND,WLB,Cameron McGrone,0,Base 4-3 D,,,0,,0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,
IND,MLB,Zaire Franklin,44,Base 4-3 D,ACT,72.0,236,Syracuse,7,29.0,1996-07-02,2018,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3124005
IND,SLB,Joe Bachie,48,Base 4-3 D,CUT,74.0,235,Michigan State,5,27.0,1998-02-26,2020,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,
IND,LCB,Charvarius Ward,7,Base 4-3 D,ACT,73.0,195,Middle Tennessee State; Hinds CC,7,29.0,1996-05-16,2018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4037361
IND,SS,Nick Cross,20,Base 4-3 D,ACT,72.0,215,Maryland,3,24.0,2001-09-10,2022,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4426403
IND,FS,Cam Bynum,0,Base 4-3 D,ACT,72.0,195,California,4,27.0,1998-07-19,2021,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4035861
IND,RCB,Xavien Howard,4,Base 4-3 D,RET,73.0,200,Baylor,9,32.0,1993-07-04,2016,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,
IND,NB,Kenny Moore II,23,Base 4-3 D,ACT,69.0,190,Valdosta State,8,30.0,1995-08-23,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4218312
IND,WR,Michael Pittman Jr.,11,3WR 1TE,ACT,76.0,220,USC,5,28.0,1997-10-05,2020,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,38.0,293.0,4.0,6,4035687
IND,LT,Bernhard Raimann,79,3WR 1TE,ACT,78.0,305,Central Michigan,3,28.0,1997-09-23,2022,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,4362580
IND,LG,Quenton Nelson,56,3WR 1TE,ACT,77.0,330,Notre Dame,7,29.0,1996-03-19,2018,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3129308
IND,C,Tanor Bortolini,60,3WR 1TE,ACT,76.0,310,Wisconsin,1,23.0,2002-06-17,2024,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4430957
IND,RG,Matt Goncalves,71,3WR 1TE,ACT,78.0,330,Pittsburgh,1,24.0,2001-01-26,2024,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4427298
IND,RT,Braden Smith,72,3WR 1TE,ACT,78.0,315,Auburn,7,29.0,1996-03-25,2018,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3121595
KC,RDT,Omarr Norman-Lott,55,Base 4-3 D,ACT,75.0,315,Tennessee; Arizona State,0,23.0,2002-03-11,2025,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4591008
KC,RDE,Mike Danna,51,Base 4-3 D,ACT,74.0,255,Michigan,5,28.0,1997-12-04,2020,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3915487
KC,WLB,Drue Tranquill,23,Base 4-3 D,ACT,74.0,234,Notre Dame,6,30.0,1995-08-15,2019,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3129310
KC,MLB,Nick Bolton,32,Base 4-3 D,ACT,71.0,232,Missouri,4,25.0,2000-03-10,2021,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4362759
LAR,LT,Alaric Jackson,77,3WR 1TE,ACT,79.0,315,Iowa,4,27.0,1998-07-14,2021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4036135
LAR,LG,Steve Avila,73,3WR 1TE,ACT,75.0,330,TCU,2,26.0,1999-10-16,2023,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4362474
LAR,C,Coleman Shelton,65,3WR 1TE,ACT,77.0,285,Washington,7,30.0,1995-07-28,2018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3052180
LAR,RG,Kevin Dotson,69,3WR 1TE,ACT,76.0,321,Louisiana-Lafayette,5,29.0,1996-09-18,2020,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3917599
LAR,RT,Rob Havenstein,79,3WR 1TE,ACT,80.0,328,Wisconsin,10,33.0,1992-05-13,2015,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2515613
